Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2021-02-08,2825.44140625,2835.9023364608793,2773.6196466029005,2803.81602670241,2526592
2021-02-09,2792.73974609375,2853.3082825643633,2781.3997381918516,2808.6511262714807,2658751
2021-02-10,2824.738037109375,2830.1002777917115,2775.509727373465,2799.860116229869,2127983
2021-02-11,2818.320556640625,2830.0123223975274,2799.9039384097105,2826.232248783409,1165882
2021-02-12,2804.958984375,2853.0444542059204,2797.2230637138314,2799.1569902245205,2777404
2021-02-15,2760.169921875,2820.958008762423,2752.873540069198,2820.958008762423,2630853
2021-02-16,2732.874267578125,2784.6078135757903,2725.138348053523,2769.0921923769665,3435770
2021-02-17,2701.491455078125,2754.0163027275794,2677.2728422340697,2729.6219174175817,3678426
2021-02-18,2687.646728515625,2723.293136819945,2664.482958747754,2694.3715831612885,4189909
2021-02-19,2700.392333984375,2713.842038226488,2651.4275812648107,2688.2170336452054,3725028
2021-02-22,2600.70556640625,2721.622662706986,2587.255644044768,2721.622662706986,5366696
2021-02-23,2619.8251953125,2661.845118240103,2609.100498988318,2610.8586529633776,3832829
2021-02-24,2591.606689453125,2640.175688079094,2567.915395351724,2612.616541472933,3774549
2021-02-25,2633.099609375,2663.515547441728,2609.496304030678,2614.375224727476,4224073
2021-02-26,2544.312255859375,2612.924249244175,2531.7414135558906,2602.067563932443,5553153
2021-03-01,2570.596435546875,2606.462813304554,2550.905200308886,2572.178816772049,3265871
2021-03-02,2642.812744140625,2659.207441361506,2591.518524672304,2602.0674467537383,3306469
2021-03-03,2689.183837890625,2693.4912282241908,2634.505091001575,2667.9980018473952,3509857
2021-03-04,2680.9208984375,2708.8315912558814,2651.340045282069,2657.4495870855635,3916760
2021-03-05,2644.306884765625,2692.7878821208865,2634.2414988104233,2651.3834955910347,3203686
2021-03-08,2643.34033203125,2666.240328983953,2633.714482570367,2651.2960211723052,2003125
2021-03-09,2682.020263671875,2696.0415006414014,2630.28670456108,2643.340870863011,1942397
2021-03-10,2699.60107421875,2719.1605345995504,2689.9752254044583,2703.1613784701667,3053778
2021-03-12,2688.173583984375,2740.0831259740735,2673.5810339324644,2703.161890397907,2938317
2021-03-15,2695.3818359375,2724.2596010016764,2673.2731354133907,2673.2731354133907,3097083
2021-03-16,2733.973388671875,2761.180778120956,2689.975543155086,2689.975543155086,4894756
2021-03-17,2736.52294921875,2773.4881833018144,2712.216553840037,2729.534329366762,3838390
2021-03-18,2669.317138671875,2765.971605676394,2625.846826743809,2747.950528336439,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.20263671875,2759.8176323307894,2653.62511137092,2680.041412282901,2821646
2021-03-23,2762.587158203125,2785.794702569668,2745.225389387804,2760.3014724104632,3305973
2021-03-24,2743.687255859375,2771.1144147890072,2734.940268188996,2734.984264961801,2207104
2021-03-25,2694.2392578125,2752.2583404265592,2681.1848783769724,2735.8634254319945,3179786
