Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2021-02-08,2825.44140625,2835.9023364608793,2773.6196466029005,2803.81602670241,2526592
2021-02-09,2792.740478515625,2853.3090308708984,2781.4004676397044,2808.651862866263,2658751
2021-02-10,2824.738525390625,2830.100766999873,2775.510207145161,2799.860600210748,2127983
2021-02-11,2818.32080078125,2830.0125675509667,2799.904180954972,2826.2324936093946,1165882
2021-02-12,2804.958984375,2853.0444542059204,2797.2230637138314,2799.1569902245205,2777404
2021-02-15,2760.169921875,2820.958008762423,2752.873540069198,2820.958008762423,2630853
2021-02-16,2732.875,2784.6085598624745,2725.1390784021382,2769.0929345053987,3435770
2021-02-17,2701.491455078125,2754.0163027275794,2677.2728422340697,2729.6219174175817,3678426
2021-02-18,2687.646240234375,2723.2926420625936,2664.482474674808,2694.3710936582934,4189909
2021-02-19,2700.392333984375,2713.842038226488,2651.4275812648107,2688.2170336452054,3725028
2021-02-22,2600.705078125,2721.622151723607,2587.2551582887345,2721.622151723607,5366696
2021-02-23,2619.8251953125,2661.845118240103,2609.100498988318,2610.8586529633776,3832829
2021-02-24,2591.606689453125,2640.175688079094,2567.915395351724,2612.616541472933,3774549
2021-02-25,2633.098876953125,2663.514806559369,2609.4955781742888,2614.3744975139684,4224073
2021-02-26,2544.3125,2612.9244999684947,2531.7416564902746,2602.0678136150045,5553153
2021-03-01,2570.5966796875,2606.463060851563,2550.9054425793493,2572.179061062959,3265871
2021-03-02,2642.812744140625,2659.207441361506,2591.518524672304,2602.0674467537383,3306469
2021-03-03,2689.184814453125,2693.4922063508966,2634.506047707785,2667.998970716374,3509857
2021-03-04,2680.921142578125,2708.8318379382204,2651.340286728885,2657.449829088751,3916760
2021-03-05,2644.307373046875,2692.7883793543356,2634.2419852330613,2651.383985179007,3203686
2021-03-08,2643.340576171875,2666.2405752396367,2633.7147258219425,2651.296266047723,2003125
2021-03-09,2682.019775390625,2696.0410098074835,2630.2862256983,2643.3403896236246,1942397
2021-03-10,2699.601318359375,2719.160780509051,2689.975468674562,2703.1616229327706,3053778
2021-03-12,2688.17333984375,2740.0828771190104,2673.5807911171387,2703.16164489604,2938317
2021-03-15,2695.38134765625,2724.2591074890815,2673.2726511372366,2673.2726511372366,3097083
2021-03-16,2733.973388671875,2761.180778120956,2689.975543155086,2689.975543155086,4894756
2021-03-17,2736.522705078125,2773.487935863313,2712.2163118679223,2729.534085849631,3838390
2021-03-18,2669.31689453125,2765.9713526955748,2625.8465865790577,2747.9502770038603,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.203125,2759.818122141022,2653.6255823341885,2680.041887934514,2821646
2021-03-23,2762.588134765625,2785.795687335934,2745.226359812995,2760.302448164983,3305973
2021-03-24,2743.68701171875,2771.11416820784,2734.9400248267016,2734.984021595591,2207104
2021-03-25,2694.2392578125,2752.2583404265592,2681.1848783769724,2735.8634254319945,3179786
