Date,Close,High,Low,Open,Volume
,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
2021-02-08,201.086669921875,202.19536032088453,196.9291232183414,198.80002769348195,25032680
2021-02-09,202.95755004882812,208.68572200032216,201.0404621183693,203.37330184978825,58949660
2021-02-10,202.79586791992188,205.17490546438623,200.94806957896586,204.18171667563888,21215470
2021-02-11,201.8719940185547,203.48881776927539,200.20897248401081,202.7958933046808,18474052
2021-02-12,204.18173217773438,207.50777508301147,203.07305590850322,203.25783293711115,38561668
2021-02-15,203.11924743652344,205.5213769296382,201.77958230079776,205.38279768684464,15689754
2021-02-16,202.1260528564453,206.86103651449275,200.39374176203773,206.02953282821062,24907596
2021-02-17,198.730712890625,202.7958635133634,197.94539297374993,201.36381701072298,14780384
2021-02-18,200.00108337402344,201.71028842192817,198.3380620076863,198.77690566565863,16771472
2021-02-19,198.61524963378906,201.29455185652913,196.83674073361217,200.09347999552762,16957332
2021-02-22,193.41830444335938,199.95488850724666,192.1710348760441,198.96169968016832,21332174
2021-02-23,191.9400634765625,196.79053439474276,191.38571830402284,193.88025748286796,17984706
2021-02-24,195.45089721679688,196.69815279717952,191.59361486946796,192.95637195844728,10120594
2021-02-25,194.61935424804688,198.17637168658266,194.22670837941453,195.45087195842822,18220784
2021-02-26,189.5379180908203,193.94954529570245,188.47543963387832,193.07184386202212,23463882
2021-03-01,191.4319305419922,193.41832247895618,189.02980084060113,189.8613045646241,12843392
2021-03-02,198.82310485839844,200.07037441641484,193.21042004249063,193.88025260097777,29750468
2021-03-03,201.17904663085938,201.7102858403336,197.82991210026526,200.02417265479244,17564904
2021-03-04,202.70347595214844,205.24419871593946,197.48345118557455,198.13017779684117,25927594
2021-03-05,194.4114990234375,203.25783136444136,192.63299017948194,203.25783136444136,87862344
2021-03-08,192.58680725097656,196.3978918829784,191.96317240076843,196.37480003939407,24709676
2021-03-09,193.6492919921875,195.31229939463398,189.42244156781456,193.92645049420588,23811258
2021-03-10,197.11390686035156,198.96170532504638,195.40468764147548,196.83673427113064,34582736
2021-03-12,196.42098999023438,199.9317959301096,194.9889433055042,199.33126704502146,17920252
2021-03-15,196.95220947265625,197.99159604465007,193.00253204053016,196.23617915339983,15034204
2021-03-16,198.31497192382812,200.9249986298715,196.628858581909,197.36798081465798,21347294
2021-03-17,193.85714721679688,201.1790512112821,192.95635395350513,198.17637880514354,24269624
2021-03-18,189.4686279296875,195.93592240850955,186.7662199172345,195.52017058295905,20165862
2021-03-19,189.6303253173828,191.08546384926612,184.52578748563184,188.9143090216005,33750804
2021-03-22,191.45501708984375,192.28652072964144,189.4917312926042,189.8843771739857,13245968
2021-03-23,191.9400634765625,195.58946258596242,190.6466102040811,192.95635826035743,23150388
2021-03-24,189.86129760742188,191.9169790964628,189.0297939138682,190.02298279716396,10280694
2021-03-25,184.6181640625,190.18466547970982,183.74046259807872,189.72271585658453,25474258
2021-03-26,186.58143615722656,188.33685305378464,185.08009999314035,186.99718796776466,18066738
2021-03-30,193.14114379882812,194.22672825264624,187.089600805121,187.089600805121,26339126
2021-03-31,191.31642150878906,193.92643389500694,190.94686747267394,193.92643389500694,14890268
2021-04-01,192.35580444335938,195.33538490670927,191.4088134328033,193.48758656604764,15193886
2021-04-05,196.5364532470703,197.66822125259353,192.26341965822476,192.37890705251786,42432790
2021-04-06,197.32177734375,198.13018917866916,195.1044248070052,197.69134549826322,16641040
2021-04-07,202.33395385742188,202.795903523763,195.58948590932414,196.32860819498697,27735300
2021-04-08,204.22793579101562,206.00644469951743,203.25783874114336,204.15864616550704,25833228
2021-04-09,207.9235076904297,208.5009446624107,203.25781413730687,204.59746509278628,23398770
2021-04-12,199.83938598632812,207.92350342835124,198.36114172932537,207.87730565202327,30172534
2021-04-13,193.53379821777344,202.12604983972943,190.60041532217366,199.56223509730444,40840640
2021-04-15,198.9617156982422,200.69402684921045,191.70910070715468,193.51070148464484,53517782
2021-04-16,216.74676513671875,218.80243246624346,201.4100322698014,204.04315071603173,218723272
2021-04-19,218.38668823242188,220.78883195460426,213.0049778464226,213.8826793265179,87619710
2021-04-20,217.1625213623047,220.6040376073149,216.10002876708475,219.88802132815795,35461382
2021-04-22,224.80776977539062,228.4340769509537,217.8554339420035,217.8554339420035,85241858
2021-04-23,219.74945068359375,225.13116120182994,219.12581584639736,223.37574410092213,27192006
2021-04-26,221.8743896484375,223.51431920478151,220.34996159092975,221.45863782344296,18629288
